"Project Name",Subtype,"Current Status","Capacity (MW)","Year of Completion","Country list of Sponsor/Developer","Sponsor/Developer Company","Country list of Lender/Financier","Lender/Financier Company","Country list of Construction/EPC","Construction Company/EPC Participant",Country,Province/State,District
"Krong Pa 2 (Nhà máy điện mặt trời Krong Pa 2)",Solar,Operational,49,2018,Vietnam,"Gia Lai Electricity Joint Stock Company - a TTC Group subsidiary (Vietnam)","Singapore; World Bank Group","International Finance Corporation - World Bank (15%); Armstrong Asset Management - Singapore (20.05%)",Japan,"JGC Vietnam - a JGC Corp subsidiary (Japan)",Vietnam,"Gia Lai","Krông Pa"
"Kui Buri Solar Power Plant",Solar,Operational,10,,Thailand,"Bangkok Solar Power Company, Ltd.",,,," ",Thailand,"Prachuap Khiri Khan","Kui Buri"
"Kumphawapi Sugar Co., Ltd",Biomass,Unknown,6,,Thailand,"Kumphawapi Sugar Co., Ltd",,,," ",Thailand,"Udon Thani",Kumphawapi
"Kun Chaung",Hydro,Operational,60,2012,Myanmar,"MEPE (Myanmar)",,,China,"CHMC (China)",Myanmar,Bago,Taungoo
"Kun Long (Upper Thanlwin)",Hydro,Postponed,1400,,"China; Myanmar","Hanergy Yunnan (China), Myanmar Pyi San Htar Group (Myanmar)",,,," ",Myanmar,Shan,Kunlong
"Kwai Noi Bumrung Dan Dam",Hydro,Operational,30,,Thailand,"EGAT (Thailand)",,,," ",Thailand,Phitsanulok,"Wat Bot"
"Kwanchangone / Kungyan Gone (Stage I II III)",Coal,Planned,3270,,Myanmar,"Kaung Myat Thaw Myae Co. Ltd. (Myanmar)",,,," ",Myanmar,Yangon,Yangon-S
"Kyaukphu (PowerChina)",Gas,Planned,135,2020,"China; Myanmar","Power Construction Corp (China), Supreme Group (Myanmar)",,,China,"Power Construction Corp (China)",Myanmar,Rakhine,Kyaunkpyu
Kyaukphyu,Coal,Planned,1320,,"Myanmar; South Korea","MCM Energy (Myanmar), Daewoo Company (South Korea), Ministry of Electric Power (Myanmar)",,,," ",Myanmar,Rakhine,Kyaunkpyu
"Kyaukpyu (V-Power)",Gas,Operational,90,2015,"Hong Kong, China","V-Power Co. Ltd (Hong Kong)",,,," ",Myanmar,Rakhine,Kyaunkpyu
"Kyaukse (APR)",Gas,Operational,102,2014,Myanmar,"MEPE (Myanmar)",,,USA,"Alstom Power Rental Energy Holding Co. (USA)",Myanmar,Mandalay,Kyaukse
"Kyaukse (NIHC)",Gas,Operational,145,2019,Myanmar,"PowerGen Kyaukse Co, Ltd (Myanmar), National Infrastructure Holding Co (Myanmar), Myanmar Chemical and Machinery (Myanmar)",,,China,"SEPCOIII Electric Power Construction, wholly owned subsidiary of Power Construction Corp. (China)",Myanmar,Mandalay,Kyaukse
Kyauktan,Coal,Cancelled,1300,,"Myanmar; India; Singapore","Kyauktan Project (Diamond Palace Services Orange (Myanmar), Powergen (India), Global Adviser (Singapore), Ministry of Electric Power (Myanmar))",,,," ",Myanmar,Yangon,Yangon-S
"Kyi Ohn Kyi Wa (Kyee Ohn Kyee Wa)",Hydro,Operational,74,2012,Myanmar,"MEPE (Myanmar)",,,China,"Guangdong New Technology Import Export Zhuhai Co (China)",Myanmar,Magway,Minbu
Kyunchaung,Gas,Operational,54.3,1974,Myanmar,"MOEP (Myanmar)",,,," ",Myanmar,Magway,Pakokku
"La Hieng 2",Hydro,Operational,18,2015,Vietnam,"VRG Phu Yen JSC.",,,," ",Vietnam,"Phú Yên","Đồng Xuân"
"Lac Hoa Soc Trang wind farm",Wind,Planned,30,2021,Vietnam,"Renewable Energy JSC Vinh Chau-TDC",,,"China; USA","PowerChina Huadong Engineering Corporation; GE Renewable Energy",Vietnam,"Sóc Trăng","Vĩnh Châu"
"Laebao (extension phase)",Hydro,Planned,7.7,,Laos,"EDL (Laos)",,,," ",Laos,Champasak,Paksong
"Laem Chabang Wind Farm",Wind,Operational,200,2012,Thailand,"EGAT (Thailand)",,,," ",Thailand,"Chon Buri","Si Racha"
"Laem Khao Power Plant",Biomass,Unknown,10.4,1992,Thailand,"Advance Power Conversion Co., Ltd.",,,," ",Thailand,Songkhla,"Hat Yai"
"Laem Khao Power Plant",Biomass,Unknown,37.4,1994,Thailand,"Advance Power Conversion Co., Ltd.",,,," ",Thailand,Chachoengsao,"Sanam Chaikhet"
"Lai Chau (Thủy điện Lai Châu) AKA Thủy điện Nậm Nhùn",Hydro,Operational,1200,2015,Vietnam,EVN,Vietnam,EVN,Vietnam,"Hydroproject and Power Construction No. 1 JSC, song Da Corp, Licogi, Lilama",Vietnam,"Lai Châu","Nậm Nhùn"
"Laiza (Laza)",Hydro,Postponed,2800,2025,China,"State Power Investment Corporation (China)",,,<Null>,,Myanmar,Kachin,Myitkyina
"Lam Soon Wastewater Treatment for Energy Generation",Waste,Unknown,0.952,,Thailand,"Lam Soon (Thailand) PCL",,,," ",Thailand,Trang,Sikao
"Lampang Solar Farm",Solar,Operational,101.25,2016,Thailand,"EA Solar Lampang Co., Ltd.",,,Finland,Pöyry,Thailand,Lampang,"Muang Lampang"
"Lamtakong Jolabha Vadhana Power Plant Units 1-2",Hydro,Operational,500,2004,Thailand,"EGAT (Thailand)",,,Italy,"Vianini Lavori, Dragados, Nawarat Patanakarn",Thailand,"Nakhon Ratchasima",Sikhiu
"Lamtakong Jolabha Vadhana Power Plant Units 3-4",Hydro,Operational,500,2019,Thailand,"EGAT (Thailand)",,,Italy,"Vianini Lavori, Dragados, Nawarat Patanakarn",Thailand,"Nakhon Ratchasima",Sikhiu
"Lamtakong Wind Turbines Phase 1",Wind,Operational,2.5,2009,Thailand,"EGAT (Thailand)",,,," ",Thailand,"Nakhon Ratchasima",Sikhiu
