"Project Name",Subtype,"Current Status","Capacity (MW)","Year of Completion","Country list of Sponsor/Developer","Sponsor/Developer Company","Country list of Lender/Financier","Lender/Financier Company","Country list of Construction/EPC","Construction Company/EPC Participant",Country,Province/State,District
"Nam Mang 3",Hydro,Operational,40,2005,Laos,"EDL GEN (Laos)","China; Laos","Export-Import Bank of China (80%) (China) and from Electricite du Laos (20%) (Laos)",China,"China International Water and Electric Corporation (China) Electricite du Laos (Laos); Resource Management and Research LLP (Kazakhstan) from United Kingdom - consultancy (UK)",Laos,Vientiane,Thoulakhom
"Nam Merk 1 (Nam Meuk 1)",Hydro,Planned,10,,Laos,"State Construction and Engineering (Laos)",,,," ",Laos,Phôngsali,Phongsaly
"Nam Mew 1",Hydro,Planned,15,,Thailand,"Ruengprasert Construction and Electricity Establishment Company (Thailand)",,,," ",Laos,Phôngsali,Phongsaly
"Nam Mo (Nam Mo 2)",Hydro,"Under Construction",90,,Vietnam,"Hanoi Investment 65 PCT (Vietnam), Viet-Lao Economical Cooperative General Company 35 PCT (Vietnam-Laos)","Vietnam; World Bank Group","Bank for Investment and Development of Vietnam (Vietnam) / MIGA (World Bank) insured",," ",Laos,Xiangkhoang,Nonghed
"Nam Mo (Thủy điện Nậm Mở)",Hydro,Operational,18,2013,Vietnam,"Công ty Điện lực Miền Bắc",,,," ",Vietnam,"Nghệ An","Kỳ Sơn"
"Nam Mo 1",Hydro,Planned,60,,Thailand,"Sahamit Patana Company Ltd (Thailand)",,,," ",Laos,Xiangkhoang,Kham
"Nam Mo 2 (Thủy điện Nậm Mở 2)",Hydro,Operational,12,2010,Vietnam,"Công ty Điện lực Miền Bắc",,,," ",Vietnam,"Lai Châu","Than Uyên"
"Nam Mo 3 (Thủy điện Nậm Mở 3)",Hydro,Operational,10,2010,Vietnam,"Nam Mo Hydro Power JSC",,,," ",Vietnam,"Sơn La","Bắc Yên"
"Nam Mom 2",Hydro,Planned,6.6,,Thailand,"Phongsab Tavi Construction and Transport Ltd (Thailand)",,,," ",Laos,Houaphan,Xamneua
"Nam Mon",Hydro,Planned,10,,Thailand,"BML Construction Company, Ltd.",,,," ",Laos,"Vientiane [prefecture]",Sisattanak
"Nam Mouan",Hydro,Planned,100,,Singapore,"Asia Invest and Service",,,," ",Laos,Bolikhamxai,Viengthong
"Nam Mu",Hydro,Operational,12,2004,Vietnam,"Song Da Corporation",,,," ",Vietnam,"Hà Giang","Bắc Quang"
"Nam Muc (Thủy điện Nậm Mức)",Hydro,Operational,44,2014,Vietnam,"Viet Nam Electricity Development JSC/Bitexco; Nam Muc Hydropower JSC",,,," ",Vietnam,"Điện Biên","Mường Chà"
"Nam Mue",Hydro,Planned,15,,Laos,"Lao Electricity State Company (Laos)",,,," ",Laos,Louangphrabang,Louangphrabang
"Nam Mung",Hydro,Operational,64,2016,"China; Thailand; Laos","Dongfang 75 PCT (China), A&C 10.75 PCT, EDL 10 PCT (Laos), Xayta Company 4.25 PCT (Thailand)",,,," ",Laos,Bolikhamxai,Thaphabath
"Nam Na 1 (Thủy điện Nậm Na 1)",Hydro,Operational,30,2016,Vietnam,"Viet Nam Electricity Development JSC/Bitexco; Nam Muc Hydropower JSC",,,," ",Vietnam,"Lai Châu","Phong Thổ"
"Nam Na 2 (Thủy điện Nậm Na 2)",Hydro,Operational,66,2015,Vietnam,"Hưng Hải Lai Châu Construction Co. Ltd (Công ty CP tập đoàn Hưng Hải); EVN (Vietnam)",,,," ",Vietnam,"Lai Châu","Sìn Hồ"
"Nam Na 3 (Thủy điện Nậm Na 3)",Hydro,Operational,84,2016,Vietnam,"Hưng Hải Lai Châu Construction Co. Ltd (Công ty CP tập đoàn Hưng Hải); EVN (Vietnam)",,,," ",Vietnam,"Lai Châu","Nậm Nhùn"
"Nam Nern 2",Hydro,Planned,1,,Thailand,"Bamtong Antay Company",,,," ",Laos,Vientiane,Kasy
"Nam Neun 1",Hydro,Planned,124,2022,Laos,"Vang Sup Development and
Investment (Laos), THB Group Sole Co. (Laos), Khongsub Bridge Construction and Engineering Company (Laos)",,,," ",Laos,Houaphan,Xamneua
"Nam Neun 2",Hydro,Planned,1,,Thailand,"Bamtong Antay Company",,,," ",Laos,Xiangkhoang,Kham
"Nam Neun 3",Hydro,Planned,60,2022,Laos,"Vang Sup Development and
Investment (Laos), THB Group Sole Co. (Laos), Khongsub Bridge Construction and Engineering Company (Laos)",,,," ",Laos,Vientiane,Kasy
"Nam Nga 1",Hydro,Planned,100,,Thailand,"Thongcharoen Construction Ltd (Thailand)",,,," ",Laos,Louangphrabang,Nambak
"Nam Nga 2",Hydro,Operational,14.5,2018,China,"Nam Nga 2 Hydropower Co., Ltd. (China)",,,China,"PowerChina Kunming Co (China)",Laos,Louangphrabang,Nambak
"Nam Ngam 1",Hydro,Planned,5,,Thailand,"Baosaitarn Development Company, Ltd.",,,," ",Laos,Xiangkhoang,Kham
"Nam Ngao",Hydro,Planned,15,2018,Thailand,"HOANGPRASERT Electricity Group (Thailand)",Switzerland,"Swiss Carbon Assets involved (Switzerland)",," ",Laos,Louangphrabang,Nambak
"Nam Ngao 2",Hydro,Planned,8,,Thailand,"MM Tormsao Company (Thailand)",,,," ",Laos,Oudômxai,Beng
"Nam Ngay",Hydro,Operational,12,2001,,,,,," ",Laos,Phôngsali,Phongsaly
"Nam Ngiep 1",Hydro,Operational,290,2019,"Japan; Netherlands; Thailand; Laos","Nam Ngiep 1 Hydropower Co., KPIC Netherlands (subsidiary of Japan’s Kansai Electric Power) 45 PCT, EGAT International 30 PCT, and the Lao Holding State Enterprise (25 PCT)","Japan; ADB","ADB; Japan Bank for International Cooperation (Japan)",," ",Laos,Bolikhamxai,Bolikhanh
"Nam Ngiep 2",Hydro,Operational,130,2015,"China; Laos","China International Water and Electric Co. (China) 90 PCT (China), EDL 10 PCT (Laos)",China,"CDB (China Develoment Bank)",China,"China International Water & Electric Corp (CWE) (China)",Laos,Xiangkhoang,Khoune
"Nam Ngiep 2A",Hydro,"Under Construction",12.4,2018,Laos,"Nonghai Group (Laos)",,,China,"Norconsult Laos",Laos,Xiangkhoang,Khoune
"Nam Ngiep 2B",Hydro,"Under Construction",8.6,2020,Laos,"Nonghai Group (Laos)",,,China,"PowerChina Kunming Co (China)",Laos,Xaisômboun,Thathom
"Nam Ngiep 2C",Hydro,"Under Construction",13.8,2020,Laos,"Nonghai Group (Laos)",,,China,"PowerChina Kunming Co (China)",Laos,Xiangkhoang,Khoune
"Nam Ngiep 3A",Hydro,Operational,44,2014,Laos,"Chaluen Sekong",,,China,"Dongfang Electric Corporation (DEC) based in Chengdu China (China)",Laos,Xiangkhoang,Phaxay
"Nam Ngob - Muang Xai",Hydro,Planned,38,,Thailand,"Phongsapthawi Construction Company Ltd (Thailand)",,,," ",Laos,Bolikhamxai,Viengthong
"Nam Ngom Torn Teng",Hydro,Planned,14,,USA,"LCM Engineering Company Ltd (USA)",,,," ",Laos,Bolikhamxai,Pakkading
"Nam Ngum",Hydro,Planned,5,,Laos,"DM Construction Company Ltd (Laos)",,,," ",Laos,Xaignabouri,Xayabury
"Nam Ngum 1",Hydro,Operational,155,1971,Laos,"Electricite du Laos","Japan; World Bank Group","World Bank Group; JBIC",Japan,"Japanese contractor (Japan)",Laos,Vientiane,"Keo Oudom"
"Nam Ngum 1 Extension Phase 1",Hydro,Operational,80,2017,Laos,"Electricite du Laos","China; Japan","China EXIM Bank, JICA",China,"Dongfang Electric Corp",Laos,Vientiane,"Keo Oudom"
"Nam Ngum 1 Extension Phase 2",Hydro,Planned,40,,Laos,"Electricite du Laos",Japan,"JBIC (Japan)",," ",Laos,Vientiane,"Keo Oudom"
"Nam Ngum 2",Hydro,Operational,615,2010,"Thailand; Laos; Japan; USA","Nam Ngum 2 Power Co.: Ch. Karnchang (Thailand) 28.5%, EDL (Laos) 25%, Ratchaburi (Thailand) 25%, Bangkok Expressway PCL (Thailand) 12.5%, Shlapak Group (USA) 4%, PT construction & Irrigation Co. (Laos) 4%, TEAM Consulting Engineering 1%",Thailand,"Thai Finance (Thailand)",Thailand,"Ch. Karnchang (Thailand)",Laos,Xaisômboun,Phun
"Nam Ngum 3",Hydro,"Under Construction",480,2020,Laos,"Electricite du Laos",China,"China EXIM (China)","China; Laos; France","Chaleun Sekong Energy Co. (Laos), Power Construction Corp (China), Artelia (France)",Laos,Xaisômboun,Xaysomboun
"Nam Ngum 4",Hydro,Planned,240,2023,Laos,"Electricite du Laos",China,"China EXIM (China)","China; France","China National Heavy Machinery Co (China) (EPC), Artelia (France)",Laos,Xiangkhoang,Phookood
"Nam Ngum 5",Hydro,Operational,120,2012,"China; Laos","POWERCHINA (85 PCT), Electricite du Laos (15 PCT)",China,"China EXIM Bank (China)",China,"Power Construction Corp (China)",Laos,Louangphrabang,Phoukhoune
"Nam Nhone",Hydro,Operational,3,2011,Laos,"NamNhone Power Co.",,,," ",Laos,Bokeo,Houixai
"Nam Noua 1",Hydro,Planned,15,,Laos,"Heuangpaseut Co.",,,," ",Laos,Phôngsali,Phongsaly
"Nam Ou 1",Hydro,Operational,180,2019,China,POWERCHINA,China,"China Development Bank",China,POWERCHINA,Laos,Louangphrabang,"Park Ou"
"Nam Ou 2",Hydro,Operational,120,2017,China,POWERCHINA,China,"China Development Bank",China,POWERCHINA,Laos,Louangphrabang,Ngoi
"Nam Ou 3",Hydro,Operational,210,2019,China,POWERCHINA,China,"China Development Bank",China,POWERCHINA,Laos,Louangphrabang,Ngoi
"Nam Ou 4",Hydro,Operational,132,2019,China,POWERCHINA,China,"China Development Bank",China,POWERCHINA,Laos,Phôngsali,Khua
"Nam Ou 5",Hydro,Operational,240,2017,"China; Laos","POWERCHINA (85 PCT), Electricite du Laos (15 PCT)",China,"China Development Bank",China,POWERCHINA,Laos,Phôngsali,Samphanh
"Nam Ou 6",Hydro,Operational,180,2017,"China; Laos","POWERCHINA (85 PCT), Electricite du Laos (15 PCT)",China,"China Development Bank",China,POWERCHINA,Laos,Phôngsali,Phongsaly
"Nam Ou 7",Hydro,"Under Construction",210,2020,China,POWERCHINA,China,"China Development Bank",China,POWERCHINA,Laos,Phôngsali,Phongsaly
"Nam Ou 8",Hydro,Planned,15,,Thailand,"Ruengprasert Construction and Electricity Establishment Co.",,,," ",Laos,Phôngsali,Phongsaly
"Nam Pa Tom Terng",Hydro,Planned,1.8,,Thailand,"Sadsoda Electricity Co., Ltd.",,,," ",Laos,Attapu,Xaysetha
"Nam Pa Torn Lum",Hydro,Planned,3.2,,Thailand,"Sadsoda Electricity Co., Ltd.",,,," ",Laos,Attapu,Xaysetha
"Nam Pac (Thủy điện Nậm Pạc)",Hydro,"Under Construction",34,2020,Vietnam,"tập đoàn KOSY",,,," ",Vietnam,"Lai Châu","Phong Thổ"
"Nam Pae",Hydro,Planned,13,,"South Korea","Posi Co.",,,," ",Laos,Phôngsali,Phongsaly
"Nam Pai",Hydro,"Under Construction",3,2016,Thailand,"PTT Construction and Electricity Ltd.",,,," ",Laos,Oudômxai,Beng
"Nam Pak",Hydro,Planned,150,2020,"Japan; Laos","Kobe Green Power Co., Ltd. (40 PCT), Electricite du Laos (20 PCT), Unknown investor (20 PCT), Chaluen Sekong",,,Laos,"Chaluen Sekong (Laos)",Laos,Champasak,Bachiangchaleunsook
"Nam Pak Torn Lum",Hydro,Planned,8,,Thailand,"Longrai Construction and Transport Co., Ltd.",,,," ",Laos,Champasak,Pathoomphone
"Nam Pan 5 (Thủy điện Nậm Pàn 5)",Hydro,"Under Construction",32,,,,,,," ",Vietnam,"Nghệ An","Con Cuông"
"Nam Pang",Hydro,Planned,5,,Thailand,"Baosaitarn Development Co., Ltd.",,,," ",Laos,Xiangkhoang,Kham
"Nam Pao",Hydro,Operational,2,2011,Laos,"Simuang Group (87 PCT), Phudoi Development Co.(13 PCT)",,,," ",Vietnam,"Nghệ An","Thanh Chương"
"Nam Paw",Hydro,"Under Construction",20,,Myanmar,"Great Hor Kham Co.",,,," ",Myanmar,Shan,Muse
"Nam Perm",Hydro,"Under Construction",12,2016,Thailand,"Yodcharoen Co., Ltd.",,,," ",Laos,"Vientiane [prefecture]",Sisattanak
"Nam Pha",Hydro,Planned,180,,"Singapore; Laos","Asia Pacific Business Link HND Berhard (80 PCT), Electricite du Laos (20 PCT)",,,," ",Laos,"Louang Namtha",Long
"Nam Pha Ngai",Hydro,Operational,19.2,2020,Laos,"Nam Pha Ngai Co., Ltd.",Switzerland,"Swiss Carbon Assets Ltd",Laos,"DSK Group",Laos,Xaisômboun,Xaysomboun
"Nam Phak",Hydro,Planned,75,,"Singapore; Laos","Nava Barat (65 PCT), Electricite du Laos (15 PCT), Green Kobe Power Co., Ltd. (20 PCT) ",,,," ",Laos,Champasak,Paksong
"Nam Phak 1",Hydro,Planned,28,,Laos,"Sahamit Patana Co., Ltd.",,,," ",Laos,Oudômxai,La
"Nam Phak 2",Hydro,Planned,28,,Laos,"Sahamit Patana Co., Ltd.",,,," ",Laos,Oudômxai,La
"Nam Phak 3",Hydro,Planned,40,,Laos,"Sahamit Patana Co., Ltd.",,,," ",Laos,Oudômxai,La
"Nam Phang",Hydro,Operational,36,2012,"USA; Vietnam","IPA Investment, Bac Ha Energy JSC",,,China,"Zhejiang Hydropower Construction and Installation Co., Ltd",Vietnam,"Lào Cai","Bảo Thắng"
"Nam Phay",Hydro,Operational,86,2018,"China; Laos","Norinco (85 PCT), Electricite du Laos (15 PCT)",China,"China EXIM Bank (China)",," ",Laos,Xaisômboun,Phun
"Nam Phayu",Hydro,Planned,30,,,,,,," ",Laos,Xékong,Dakcheung
"Nam Phon",Hydro,Planned,52.8,,"France; Laos","Valcan Energy, ECL",,,," ",Laos,Xaisômboun,Hom
"Nam Phong (Blocks 1-2)",Gas,Operational,710,1994,Thailand,EGAT,,,," ",Thailand,"Khon Kaen","Nam Phong"
"Nam Phong Power Station",Biomass,Operational,9.9,2012,,,Thailand,,Thailand,"Khon Kaen Sugar Industry Public Company Limited",Thailand,"Khon Kaen","Nam Phong"
"Nam Pia (Thủy điện Nậm Pia)",Hydro,Operational,15,2009,Vietnam,"Lam Son Construction & Commerce Co., Ltd.",,,," ",Vietnam,"Sơn La","Mường La"
"Nam Pim",Hydro,Planned,12,,India,"Asom Powergrid Co., Ltd.",,,," ",Laos,Attapu,Xaysetha
"Nam Pod",Hydro,Planned,15,,USA,"ACE Consultant",,,," ",Laos,Vientiane,Thoulakhom
"Nam Pong",Hydro,Operational,32,2014,"Vietnam; Switzerland","Za Hung JSC.",,,," ",Vietnam,"Nghệ An","Quỳ Châu"
"Nam Pord",Hydro,Planned,5,,Thailand,"Tedmani Construction-Transport Co., Ltd.",,,," ",Laos,Xaignabouri,Xayabury
"Nam Pot 1",Hydro,"Under Construction",20,,,,,,," ",Laos,Xiangkhoang,Phaxay
"Nam Puek",Hydro,"Under Construction",5,2018,Thailand,"National Advisory Co., Ltd.",,,," ",Laos,"Louang Namtha",Namtha
"Nam Pui",Hydro,Planned,60,,Malaysia,"Mudajaya Corporation Berhard (Malaysia)",,,Thailand,"Sukkasoem Construction (Thailand)",Laos,Xaignabouri,Phiang
"Nam Pui Torn Lue",Hydro,Planned,5,,Thailand,"Rai Engineering Co.",,,," ",Laos,Xaignabouri,Xayabury
"Nam Pun",Hydro,Planned,60,,,"Sod Tampailaexam",,,," ",Laos,Xaignabouri,Parklai
"Nam Pung",Hydro,Operational,9.3,2009,Greece,Intracom,,,," ",Vietnam,"Lào Cai","Bát Xát"
"Nam Pung Dam",Hydro,Operational,6,,Thailand,EGAT,,,," ",Thailand,"Sakon Nakhon","Phu Phan"
"Nam Punglau",Hydro,Planned,8,,Thailand,"Xayprajan Construction Co., Ltd.",,,," ",Laos,Bokeo,"Pha Oudom"
"Nam Pungmalun",Hydro,Planned,4.5,,Laos,"Xaysomboun Construction Tesasadtorn-Hydropower Company (Laos)",,,," ",Laos,Bokeo,"Pha Oudom"
"Nam Ruay",Hydro,"Under Construction",7,2018,Laos,"Lao Relationship Ltd (Laos)",,,," ",Laos,Xiangkhoang,Nonghed
"Nam Rung Torn Lur",Hydro,Planned,5,,Thailand,"Pantamit Patana Construction and Transport Company Ltd (Thailand)",,,," ",Laos,Xaignabouri,Xayabury
"Nam Sam",Hydro,Planned,94,,Thailand,"Phongsapthawi Construction and Transport Company (Thailand)",,,," ",Laos,Houaphan,Xamneua
"Nam Sam",Hydro,Planned,156,,Thailand,"Phongsapthawi Construction and Transport Company (Thailand)",,,," ",Laos,Houaphan,Xamneua
"Nam Sam (Taklang)",Hydro,Operational,5,2014,Thailand,"Bamtongamtae Company, Ltd.",,,," ",Laos,Houaphan,Xamneua
"Nam Sam 1",Hydro,Planned,7,,"USA; United Kingdom","Intra Corp (USA) and ACAS (UK)",,,," ",Laos,Bolikhamxai,Viengthong
"Nam Sami",Hydro,Planned,5,,Thailand,"Simsalud Advising Company Ltd (Thailand)",,,," ",Laos,Xiangkhoang,Kham
"Nam San 3A",Hydro,Operational,69,2016,"Malaysia; Laos","Padaeng Industry PCL (EDL)(Laos), Rohas Euco Industries Berhad (Malaysia)",,,Thailand,"Phongsapthawi Construction",Laos,Xiangkhoang,Khoune
"Nam San 3B",Hydro,Operational,45,2015,"Malaysia; Laos","Padaeng Industry PCL (EDL)(Laos), Rohas Euco Industries Berhad (Malaysia)",,,," ",Laos,Xiangkhoang,Khoune
"Nam Sana",Hydro,Operational,14,2015,Laos,"EDL (Laos)",,,Thailand,"Nawarat Patanakarn Pcl (Thailand)",Laos,Vientiane,Kasy
"Nam Sana (Tornlum)",Hydro,Planned,5,,Thailand,"Tasi Rungruengsab Construction and Transport Company Ltd (Thailand)",,,," ",Laos,Vientiane,Kasy
"Nam Sanam",Hydro,Planned,1,,Laos,"Phusi Luang Phrabang Construction and Transport Company Ltd (Laos)",,,," ",Laos,Louangphrabang,Louangphrabang
"Nam Sanam",Hydro,Planned,15,,Thailand,"Padthongtam Company Ltd (Thailand)",,,," ",Laos,Vientiane,Vangvieng
"Nam Sang",Hydro,Planned,1.2,,Laos,"EDL (Laos)",,,," ",Laos,Louangphrabang,Louangphrabang
"Nam Satuay",Hydro,"Under Construction",5,2015,Thailand,"Xamaxay Construction and Bridges Company (Thailand)",,,," ",Laos,Champasak,Paksong
"Nam Sayay",Hydro,Planned,2.5,,Thailand,"Patang Longngarn Company Ltd (Thailand)",,,," ",Laos,"Vientiane [prefecture]",Sisattanak
"Nam Ser",Hydro,Planned,53,,Thailand,"Phongsak (Thailand)",,,," ",Laos,Xékong,Lamarm
"Nam Seuang 1",Hydro,Planned,30,,"China; Laos","China Sichuan Gurong Group Co., Ltd (China)/Chaleun Sekong (Laos)",,,," ",Laos,Louangphrabang,"Pak Xeng"
"Nam Seuang 2",Hydro,Planned,108,,"China; Laos","China Sichuan Gurong Group Co., Ltd (China), Chaleun Sekong (Laos)",,,," ",Laos,Louangphrabang,"Pak Xeng"
"Nam Seuang 3",Hydro,Planned,42,,"China; Laos","China Sichuan Gurong Group Co., Ltd (China), Chaleun Sekong (Laos)",,,," ",Laos,Louangphrabang,"Pak Xeng"
"Nam Seuang 4",Hydro,Planned,47.1,,"China; Laos","China Sichuan Gurong Group Co., Ltd (China), Chaleun Sekong (Laos)",,,," ",Laos,Louangphrabang,"Pak Xeng"
"Nam Seuang 5",Hydro,Planned,72,,"China; Laos","China Sichuan Gurong Group Co., Ltd (China), Chaleun Sekong (Laos)",,,," ",Laos,Champasak,Paksong
"Nam Si Luong 1 (Thủy điện Nậm Sì Lường 1)",Hydro,"Under Construction",30,2019,Vietnam,"Công ty Cổ phần thủy điện Nậm Sì Lường 1",Vietnam,"Ngân hàng Thương mại cổ phần Đầu tư và Phát triển Việt Nam (Vietnam)",," ",Vietnam,"Lai Châu","Mường Tè"
"Nam Si Luong 3 (Thủy điện Nậm Sì Lường 3)",Hydro,"Under Construction",21,2020,Vietnam,"Công ty cổ phần Sông Đà 705 (Vietnam)",Vietnam,"Ngân hàng Thương mại cổ phần Đầu tư và Phát triển Việt Nam (Vietnam)",," ",Vietnam,"Lai Châu","Mường Tè"
"Nam Si Luong 4 (Thủy điện Nậm Sì Lường 4)",Hydro,"Under Construction",20,2020,Vietnam,"Công ty cổ phần Sông Đà 705 (Vietnam)",Vietnam,"Ngân hàng Thương mại cổ phần Đầu tư và Phát triển Việt Nam (Vietnam)",," ",Vietnam,"Lai Châu","Mường Tè"
"Nam Sim",Hydro,"Under Construction",9.36,2015,Norway,"Energy Development AS (Norway) 75 PCT, ECI (Laos) 25 PCT",Norway,"Norfund (Norway)",," ",Laos,Houaphan,Viengxay
"Nam Song Diversion",Hydro,Operational,6,2012,Laos,"EDL (Laos)",,,Japan,"Ando Hazama Corporation (Japan)",Laos,Vientiane,Vangvieng
"Nam Sorng Srong",Hydro,Planned,5,,Laos,"Lao Ari Company (Laos)",,,," ",Laos,Xiangkhoang,Kham
"Nam Srom",Hydro,Planned,5,,"South Korea","DMD Development Company Ltd (South Korea)",,,," ",Laos,Xiangkhoang,Kham
"Nam Sui",Hydro,Planned,15,,Thailand,"Phongsapthawi Construction and Transport Ltd (Thailand)",,,," ",Laos,Xiangkhoang,Kham
"Nam Tae",Hydro,Planned,12,,Laos,"Hydro Lao (Laos)",,,," ",Laos,Xiangkhoang,Kham
"Nam Tai",Hydro,Planned,7.5,,Thailand,"Tavisai Construction Company Ltd (Thailand)",,,," ",Laos,"Louang Namtha",Namtha
"Nam Talan",Hydro,Planned,3,,Thailand,"Xaypajan Construction Company Ltd (Thailand)",,,," ",Laos,"Louang Namtha",Namtha
"Nam Talui (Wangtunamtao)",Hydro,Planned,5,,Thailand,"Pantaving Company (Thailand)",,,," ",Laos,Xiangkhoang,Kham
"Nam Tam",Hydro,Planned,5,,"Thailand; Laos","PEA Encom 67 PCT (Thailand), EDL 30 PCT (Laos), Cobrie 3 PCT (Thailand)",,,," ",Laos,Xaignabouri,Xayabury
"Nam Tam",Hydro,Planned,2.5,,Laos,"Vientiane WERC (Laos)",,,," ",Laos,Vientiane,Vangvieng
"Nam Tam",Hydro,Planned,1,,Thailand,"Bamtong Antay Company",,,," ",Laos,Houaphan,Xamneua
"Nam Tam 3A",Hydro,Planned,5,,Thailand,"Bamsai Development Company, Ltd.",,,," ",Laos,Xiangkhoang,Kham
"Nam Tam 3B",Hydro,Planned,5,,Thailand,"Bamsai Development Company, Ltd.",,,," ",Laos,Xiangkhoang,Kham
"Nam Tamnoi",Hydro,Planned,5,,Thailand,"Suksimuang Company Ltd (Thailand)",,,," ",Laos,Xiangkhoang,Kham
"Nam Tang",Hydro,Planned,10,,Thailand,"Leelakerd Company (Thailand)",,,," ",Laos,"Louang Namtha",Namtha
"Nam Tang",Hydro,Planned,5,,Thailand,"Suksimuang Company Ltd (Thailand)",,,," ",Laos,Xiangkhoang,Kham
"Nam Tang",Hydro,Planned,1,,Thailand,"Bamtong Antay Company",,,," ",Laos,Houaphan,Xamneua
"Nam Tao",Hydro,Planned,5,,Thailand,"SV Group (Switzerland),  Daosavan Company Ltd (Thailand)",,,," ",Laos,Xiangkhoang,Kham
"Nam Tao",Hydro,"Under Construction",15,2017,Laos,"Thongcharoen Company (Laos)",,,," ",Laos,Houaphan,Sopbao
"Nam Tarm",Hydro,Planned,47,,Thailand,"Tongpalert Construction Company (Thailand)",,,," ",Laos,Louangphrabang,Louangphrabang
"Nam Teng",Hydro,Planned,15,,"Hong Kong, China","VSA Company Ltd (Hong Kong)",,,," ",Laos,Bolikhamxai,Viengthong
"Nam Ter",Hydro,Planned,5,,Thailand,"Pantaving Company (Thailand)",,,," ",Laos,Xiangkhoang,Kham
"Nam Ter",Hydro,Planned,12,,Thailand,"Pantaving Company (Thailand)",,,," ",Laos,Xiangkhoang,Kham
"Nam Terng",Hydro,Planned,5,,Thailand,"Charoensab Company",,,," ",Laos,Bolikhamxai,Viengthong
"Nam Tha 1",Hydro,Operational,168,2019,"China; Laos","Nam Tha 1 Lao Power Co. Ltd: China Southern Power Grid Co. 75 PCT (China), EDL 25 PCT (Laos)",China,"China BFI (China)",China,"Power Construction Corp",Laos,Bokeo,"Pha Oudom"
"Nam Tha 2",Hydro,Planned,25,,Thailand,"Ruamjaipatana Construction and Electricity Establishment Company Ltd (Thailand)",,,," ",Laos,"Louang Namtha",Namtha
"Nam Tha 2 (Namtha Tadpuak)",Hydro,"Under Construction",14.8,2017,Thailand,"Microhyro Power Ltd (Thailand)",,,," ",Laos,Champasak,Paksong
"Nam Tha 3",Hydro,Operational,1.25,2011,Laos,"EDL (Laos)",,,Laos,"Communal Development, Construction and Electricity Company Ltd",Laos,"Louang Namtha",Namtha
"Nam Tha Hat Mouk",Hydro,Planned,14,,,,,,," ",Laos,Bokeo,"Pha Oudom"
"Nam The",Hydro,Planned,15,,,,,,," ",Laos,Phôngsali,Phongsaly
"Nam Theun 1",Hydro,"Under Construction",670,2022,Thailand,"Pongsak Group",China,"China BFI",China,"Power Construction Corp",Laos,Bolikhamxai,Pakkading
"Nam Theun 2",Hydro,Operational,1075,2010,"France; Thailand; Laos","EDF 35 PCT, EGCO 25 PCT, LHSE 25 PCT, ITD 15 PCT","World Bank Group; ADB","World Bank Group, ADB",France,EDF,Laos,Bolikhamxai,Khamkheuth
"Nam Theun 4",Hydro,Planned,80,,Laos,"SSPT Lao Construction Design (Laos)",,,," ",Laos,Bolikhamxai,Khamkheuth
"Nam Theun Kaeng Seuaten",Hydro,Planned,54,,Laos,"EDL (Laos)",,,," ",Laos,Bolikhamxai,Khamkheuth
"Nam Thien",Hydro,Operational,,2001,,,,,," ",Laos,Xaignabouri,Xayabury
"Nam Tim",Hydro,Planned,9,,Thailand,"Pantaving Company (Thailand)",,,," ",Laos,Xiangkhoang,Kham
"Nam To",Hydro,Planned,5,,Laos,"Vientiane Automobile and SM Engineering Company Ltd (Laos)",,,," ",Laos,Xiangkhoang,Kham
"Nam Tong",Hydro,Planned,8.4,,Thailand,"Wansomai Songserm Painting Company (Thailand)",,,," ",Laos,"Louang Namtha",Namtha
"Nam Tong",Hydro,Planned,5,,Thailand,"Duangtavorn Construction Development Company Ltd (Thailand)",,,," ",Laos,Xiangkhoang,Kham
"Nam Toong",Hydro,"Under Construction",34,,Vietnam,"Sa Pa Northern Electrical Development (Vietnam)",,,China,"Zhejiang Hydropower Construction and Installation Co., Ltd (China)",Vietnam,"Lào Cai","Sa Pa"
"Nam Tow",Hydro,Planned,5,,Thailand,"Pantaving Company (Thailand)",,,," ",Laos,Xiangkhoang,Kham
"Nam Tow",Hydro,Planned,12,,Thailand,"Pantaving Company (Thailand)",,,," ",Laos,Xiangkhoang,Kham
"Nam Tow 4 Tornteng",Hydro,Planned,1,,Thailand,"SVT (Laos) and Daosavan Company (Thailand)",,,," ",Laos,Xiangkhoang,Kham
"Nam Toy",Hydro,Planned,15,,Thailand,"Songmi Construction, Design, Hydropower and Transport Company (Thailand)",,,," ",Laos,Phôngsali,Boontai
"Nam Trum",Hydro,Planned,0.01,,Thailand,"Pantaving Company (Thailand)",,,," ",Laos,Xiangkhoang,Kham
"Nam Trum (Torn Lum)",Hydro,Planned,5,,Thailand,"Pantaving Company (Thailand)",,,," ",Laos,Xiangkhoang,Kham
"Nam Tu (Hsipaw)",Hydro,Planned,100,,China,"Natural Current Energy Hydropower Co., Ltd. (China)",,,," ",Myanmar,Shan,Kyaukme
"Nam Tum 1",Hydro,Planned,15,,Thailand,"Thongcharoen Construction Development Company (Thailand)",,,," ",Laos,Phôngsali,Phongsaly
"Nam Tum 2",Hydro,Planned,15,,Thailand,"Thongcharoen Construction Development Company (Thailand)",,,," ",Laos,Phôngsali,Phongsaly
